Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
129,5200,229,360.88,69.8546,186,66,1.35512,267.126,100.646,268.687,34.6644,454.635,39.0632,453.074,105.045
130,5240,228,359.605,69.5613,186,66,1.36836,265.844,100.331,267.42,34.3499,453.367,38.7916,451.791,104.773
131,5280,232,355.773,68.1289,186,66,1.54788,261.916,98.6047,263.699,32.6288,449.631,37.653,447.848,103.629
132,5320,232,351.332,68.7876,186,66,1.49335,257.504,99.3527,259.224,33.3751,445.161,38.2225,443.441,104.2
133,5360,229,348.539,69.9526,186,66,1.3095,254.809,100.819,256.317,34.8359,442.269,39.0866,440.76,105.069
134,5400,229,348.347,69.8438,186,66,0.896749,254.842,101.384,255.875,35.3923,441.852,38.3033,440.819,104.295
135,5440,227,343.801,69.4864,186,66,0.921025,250.283,100.987,251.344,34.9958,437.32,37.9856,436.259,103.977
136,5480,229,332.927,70.1118,186,66,0.993295,239.369,101.495,240.513,35.5045,426.485,38.7289,425.341,104.719
137,5520,227,324.869,70.2803,186,66,0.588311,231.535,102.324,232.213,36.3271,418.203,38.2369,417.525,104.233
138,5560,226,318.495,70.1817,186,66,0.628022,225.139,102.16,225.862,36.1643,411.851,38.203,411.128,104.199
139,5600,226,318.164,70.0204,186,66,0.716137,224.759,101.855,225.584,35.8606,411.57,38.1854,410.745,104.18
140,5640,227,312.122,69.4763,186,66,0.658375,218.749,101.405,219.507,35.4098,405.495,37.5471,404.737,103.543
141,5680,235,305.361,66.1053,186,66,0.750057,211.937,97.8851,212.801,31.8907,398.785,34.3255,397.921,100.32
142,5720,233,302.954,64.6473,186,66,1.04363,209.369,95.948,210.571,29.9589,396.54,33.3467,395.338,99.3357
143,5760,228,301.498,63.8762,186,66,0.967332,207.954,95.3014,209.068,29.3108,395.041,32.4509,393.927,98.4415
144,5800,228,301.184,63.8283,186,66,1.10313,207.566,95.0317,208.836,29.0439,394.802,32.6248,393.531,98.6126
145,5840,234,301.106,62.5024,186,66,1.20312,207.434,93.5424,208.82,27.557,394.779,31.4624,393.393,97.4478
146,5880,228,300.866,60.1055,186,66,1.46261,207.054,90.721,208.738,24.7425,394.678,29.4901,392.993,95.4686
147,5920,227,299.665,59.8322,186,66,1.19695,205.996,90.8824,207.374,24.8968,393.334,28.7821,391.955,94.7677
148,5960,223,301.127,60.2981,186,66,1.10368,207.509,91.5006,208.78,25.5128,394.746,29.0955,393.474,95.0833
149,6000,223,301.011,60.373,186,66,1.1569,207.364,91.4886,208.696,25.5021,394.659,29.2575,393.326,95.244
150,6040,228,302.6,61.2823,186,66,0.991919,209.043,92.6674,210.186,26.6773,396.158,29.8972,395.015,95.8873
151,6080,229,308.008,62.927,186,66,1.20904,214.332,93.9573,215.725,27.972,401.684,31.8966,400.291,97.8819
152,6120,228,315.926,67.7056,186,66,1.15078,222.282,98.8312,223.608,32.8445,409.57,36.58,408.245,102.567
153,6160,224,327.406,70.3037,186,66,1.29903,233.682,101.187,235.178,35.2038,421.13,39.4205,419.634,105.404
154,6200,224,327.48,70.3238,186,66,1.20459,233.807,101.361,235.194,35.376,421.153,39.2862,419.766,105.272
155,6240,226,335.973,72.0955,186,66,1.33725,242.228,102.916,243.768,36.9341,429.718,41.2749,428.177,107.257
156,6280,227,343.704,71.9902,186,66,1.78658,249.721,102.075,251.778,36.1069,437.688,41.9057,435.63,107.874
157,6320,228,343.149,71.4331,186,66,1.94846,249.081,101.252,251.325,35.2901,437.217,41.6142,434.973,107.576
158,6360,230,344.202,76.2119,186,66,1.75597,250.235,106.347,252.257,40.3776,438.17,46.0772,436.148,112.046
159,6400,231,344.277,76.1397,186,66,2.05507,250.153,105.784,252.52,39.826,438.401,46.4959,436.034,112.453
160,6440,221,349.468,78.199,186,66,2.24002,255.249,107.539,257.829,41.5893,443.686,48.8592,441.107,114.809
161,6480,225,366.916,82.0529,186,66,2.25937,272.687,111.361,275.289,45.4122,461.145,52.7449,458.543,118.694
162,6520,229,371.497,84.3799,186,66,2.24127,277.278,113.718,279.859,47.7682,465.716,55.0422,463.135,120.992
163,6560,232,374.998,86.0307,186,66,2.16914,280.815,115.487,283.313,49.5344,469.18,56.5744,466.682,122.527
164,6600,233,375.261,86.0411,186,66,1.90778,281.214,115.927,283.411,49.9634,469.308,56.1554,467.111,122.119
